raceethnicity,city,region,lawenforcementagency,cause,armed
Hispanic/Latino,Hackensack,Northeast,Hackensack Police Department,Gunshot,yes
White,Old Bridge Township,Northeast,Old Bridge Police Department,Gunshot,yes
Asian/Pacific Islander,Hackensack,Northeast,Bergen County Prosecutor s Department,Struck by vehicle,No
Black,Ridgefield Park,Northeast,New Jersey State Police,Struck by vehicle,No
Unknown,Middletown,Northeast,Monmouth County Emergency Response Team,Gunshot,yes
Unknown,Berlin,Northeast,Winslow Police Department,Gunshot,yes
White,Albuquerque,Southeast,Bernalillo County Sheriff s Department,Gunshot,yes
White,Albuquerque,Southeast,Albuquerque Police Department,Gunshot,yes
White,Ruidoso,Southeast,Ruidoso Police Department,Gunshot,yes
White,Rudioso,Southeast,New Mexico State Police and US Marshals Service,Gunshot,No
White,Edgewood,Southeast,New Mexico State Police,Gunshot,yes
White,Las Vegas,West,Las Vegas Metro Police (Swat),Gunshot,yes
Hispanic/Latino,Las Vegas,West,North Las Vegas Police Department,Gunshot,No
White,Boulder City,West,Boulder City Police Department,Gunshot,No
Black,Fallsburg,Northeast,New York Department of Corrections and Community Supervision,Death in custody,yes
Black,Bay Shore,Northeast,Suffolk County Police Department,Gunshot,yes
Black,Albany,Northeast,City of Albany Police Department,Taser,yes
Black,Rochester,Northeast,Rochester Police Department,Taser,yes
Hispanic/Latino,New York,Northeast,New York Police Department,Death in custody,yes
White,Clarendon,Northeast,Orleans County Sheriff s Office,Gunshot,yes
White,Beacon,Northeast,Beacon Police Department,Gunshot,yes
White,Rochester,Northeast,New York State Police  Monroe County Sheriff s Department and Gates Police Department,Gunshot,yes
White,New City,Northeast,Clarkstown Police Department,Gunshot,yes
White,Catskill,Northeast,New York State Troopers,Struck by vehicle,yes
Black,New York,Northeast,New York Police Department,Gunshot,yes
Black,New York,Northeast,New York Police Department,Gunshot,No
White,Constantania,Northeast,Oswego County Sheriff s Department,Gunshot,No
White,New York,Northeast,New York Police Department,Gunshot,No
Black,Cleveland,Midwest,Cleveland Division of Police,Gunshot,yes
Black,Columbus,Midwest,Columbus Police Department,Gunshot,yes
Black,Mansfield,Midwest,Mansfield Police Department,Taser,yes
White,Mansfield,Midwest,Mansfield Police Department,Gunshot,yes
White,Green,Midwest,Summit County Sheriff s Office,Gunshot,yes
Black,Columbus,Midwest,Columbus Police Department  Ohio State Highway Patrol,Gunshot,No
Black,Cleveland,Midwest,Cleveland Division of Police,Gunshot,No
White,Munroe Falls,Midwest,Kent Police Department,Gunshot,No
White,Columbus,Midwest,Columbus Division of Police,Gunshot,Unknown
White,Peebles,Midwest,Pike County Sheriff s Department,Gunshot,yes
Black,Tulsa,Southwest,Tulsa County Sheriff s Office,Gunshot,yes
Black,Tulsa,Southwest,Department of Veteran Affairs,Gunshot,yes
Black,Muskogee,Southwest,Muskogee Police Department,Gunshot,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Taser,yes
Black,Tulsa,Southwest,Osage Nation Police Department,Taser,yes
White,Chickasha,Southwest,Grady County Sheriff s Department and Chickasha Police Department,Gunshot,yes
White,Bunch,Southwest,Oklahoma Department of Wildlife Conservation,Gunshot,yes
White,Rufe,Southwest,Choctaw County Sheriff s Office and Hugo Police Department,Gunshot,yes
White,Stillwater,Southwest,Stillwater Police Department,Gunshot,yes
White,Wapanucka,Southwest,Oklahoma Highway Patrol and Tupelo Police Department,Gunshot,yes
White,Muskogee County,Southwest,Warner Police Department,Taser,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,yes
White,Shawnee,Southwest,Pottawatomie County Sheriff s Office,Gunshot,yes
White,Edmond,Southwest,Edmond Police Department,Gunshot,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,No
White,Miami,Southwest,Oklahoma Highway Patrol,Gunshot,No
White,Kellyville,Southwest,Creek County Sheriff s Department and Bristow Police Department,Gunshot,No
White,Mounds,Southwest,Oklahoma Highway Patrol,Gunshot,No
White,Newalla,Southwest,Oklahoma City Police Department,Gunshot,No
White,Guthrie,Southwest,Oklahoma State Police,Gunshot,yes
Hispanic/Latino,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,yes
White,Tulsa,Southwest,Tulsa Police Department,Struck by vehicle,yes
White,Medford,West,Medford Police Department,Gunshot,yes
White,Eugene,West,Eugene Police Department,Gunshot,yes
White,Salemburg,West,Salem Police Department,Gunshot,yes
White,Grants Pass,West,Oregon State Police,Gunshot,yes
White,Aloha,West,Washington County Sheriff s Office,Gunshot,No
Unknown,Medford,West,Medford Police Department,Gunshot,yes
